TransID,Date,AprCode,EmployeeID,StdRate,EmployeeName,Hours,CostCode,Description,BilledAmt,Comments
27,2012-01-01,110,50,450,Kallie Austin,5.5,400,AppDev - Design,450,AppDev-Genl Reqmt & Architect
453,2012-01-06,110,50,450,Kallie Austin,3.5,190,ERP - Production Support,450,Present web part border style options
483,2012-01-06,110,12,900,Finley Salazar,2.5,415,AppDef - Application Model,900,AC2012
527,2012-01-06,110,15,450,Jack Zuniga,5,495,App Dev - Project Management,0,App Dev - Project Management
529,2012-01-06,110,26,150,Nathalia Hayden,2.5,495,App Dev - Project Management,150,Review decline notices
771,2012-01-09,110,26,150,Nathalia Hayden,3.5,450,BI - Envisioning,150,Review utilization of reports
1980,2012-01-22,110,26,150,Nathalia Hayden,2,452,BI - Infrastructure,150,BI - Configure Database
1996,2012-01-22,110,12,900,Finley Salazar,3.5,490,Application Development Support,0,AC2012
2339,2012-01-26,110,26,150,Nathalia Hayden,6,457,BI - Integration,0,BI - SSIS Package Design
2413,2012-01-27,110,68,750,Walter Conner,3.5,452,BI - Infrastructure,0,Test AR Aging
2422,2012-01-27,110,68,750,Walter Conner,3.5,456,BI - Testing,0,BI - Acceptance Testing
2440,2012-01-27,110,50,450,Kallie Austin,6,495,App Dev - Project Management,0,App Dev - Project Management
2512,2012-01-28,110,47,300,Joseph Garrison,5.5,456,BI - Testing,0,BI - Acceptance Testing
2584,2012-01-29,110,50,450,Kallie Austin,3.5,410,AppDev - Technical Spec,0,Develop Technical Specifications
2628,2012-01-29,110,12,900,Finley Salazar,3,495,App Dev - Project Management,0,AC2012
2694,2012-01-30,110,68,750,Walter Conner,3.5,450,BI - Envisioning,0,BI - Envisioning
2697,2012-01-30,110,14,150,Izabella Sellers,3,452,BI - Infrastructure,0,Meeting  and . Discussion on following steps of the projects. Requested reports for validation from Payroll Manager at .
2720,2012-01-30,110,47,300,Joseph Garrison,3.5,495,App Dev - Project Management,0,Review and update scope document
2897,2013-07-08,110,57,150,Lisa Strickland,1.5,190,ERP - Production Support,225,ERP - Production Support
2975,2013-07-08,110,16,450,Jair Donovan,2.5,495,App Dev - Project Management,1125,Financial Reporting query review
3028,2013-07-09,110,50,450,Kallie Austin,2.5,405,AppDev - Business Requirements,1125,Requirements Definition
3057,2013-07-09,110,68,750,Walter Conner,4,453,BI - Build,0,AC2013
3080,2013-07-09,110,16,450,Jair Donovan,3.5,495,App Dev - Project Management,1575,App Dev - Project Management
3114,2013-07-10,110,45,450,Ingrid Jordan,1,215,CRM - Build Phase,450,CRM - Build Phase
3140,2013-07-10,110,26,150,Nathalia Hayden,3,450,BI - Envisioning,450,Review and update documentation
3192,2013-07-11,110,57,150,Lisa Strickland,2,190,ERP - Production Support,300,ERP - Production Support
3213,2013-07-11,110,11,150,Everett Yoder,2,215,CRM - Build Phase,300,CRM - Build Phase
3214,2013-07-11,110,11,150,Everett Yoder,1,215,CRM - Build Phase,150,CRM - Build Phase
3215,2013-07-11,110,45,450,Ingrid Jordan,1,215,CRM - Build Phase,450,CRM - Build Phase
3263,2013-07-11,110,47,300,Joseph Garrison,2,495,App Dev - Project Management,600,App Dev - Project Management
3264,2013-07-11,110,47,300,Joseph Garrison,1,495,App Dev - Project Management,300,App Dev - Project Management
3302,2013-07-12,110,11,150,Everett Yoder,1.5,215,CRM - Build Phase,225,CRM - Build Phase
3303,2013-07-12,110,45,450,Ingrid Jordan,2.5,215,CRM - Build Phase,1125,CRM - Build Phase
3309,2013-07-12,110,46,150,Jaeden Cowan,3.5,405,AppDev - Business Requirements,420,Requirements Definition
3310,2013-07-12,110,50,450,Kallie Austin,1,405,AppDev - Business Requirements,450,Requirements Definition
3313,2013-07-12,110,18,300,Jazmin Marks,2,410,AppDev - Technical Spec,600,Reintegrate billings
3334,2013-07-12,110,15,450,Jack Zuniga,0.5,453,BI - Build,225,BI - Budgeting Build Phase
3354,2013-07-12,110,13,300,Hector Sanders,2,490,Application Development Support,600,Application Development Support
3356,2013-07-12,110,16,450,Jair Donovan,1,495,App Dev - Project Management,450,App Dev - Project Management
3394,2013-07-13,110,11,150,Everett Yoder,2,215,CRM - Build Phase,300,CRM - Build Phase
3395,2013-07-13,110,45,450,Ingrid Jordan,2.5,215,CRM - Build Phase,1125,CRM - Build Phase
3401,2013-07-13,110,46,150,Jaeden Cowan,1.5,400,AppDev - Design,225,AppDev-Genl Reqmt & Architect
3408,2013-07-13,110,44,300,Gavyn Welch,3.5,415,AppDef - Application Model,840,SSIS package design communications
3421,2013-07-13,110,26,150,Nathalia Hayden,1,450,BI - Envisioning,150,BI - Envisioning
3429,2013-07-13,110,15,450,Jack Zuniga,2,453,BI - Build,900,BI - Budgeting Build Phase
3464,2013-07-13,110,12,900,Finley Salazar,0.5,515,General Infrastructure,450,AC2012
3509,2013-07-14,110,18,300,Jazmin Marks,3,410,AppDev - Technical Spec,900,Present related documents prototype to key business decision makers
3539,2013-07-14,110,15,450,Jack Zuniga,3,453,BI - Build,1080,"Exam prep, Microsoft exam 70-461"
3603,2013-07-15,110,45,450,Ingrid Jordan,0.5,215,CRM - Build Phase,225,Rice career fair
3604,2013-07-15,110,45,450,Ingrid Jordan,2,215,CRM - Build Phase,900,Project Server Project site and Document Set folder functionality and hierarchy overview
3612,2013-07-15,110,46,150,Jaeden Cowan,2.5,400,AppDev - Design,375,AppDev-Genl Reqmt & Architect
3620,2013-07-15,110,44,300,Gavyn Welch,0.5,415,AppDef - Application Model,150,AppDef-Object Model
3704,2013-07-16,110,41,300,Donna Hall,1,190,ERP - Production Support,300,ERP - Production Support
3705,2013-07-16,110,45,450,Ingrid Jordan,3.5,215,CRM - Build Phase,1260,CRM - Build Phase
3792,2013-07-17,110,41,300,Donna Hall,2,190,ERP - Production Support,600,ERP - Production Support
3793,2013-07-17,110,41,300,Donna Hall,1,190,ERP - Production Support,300,ERP - Production Support
3810,2013-07-17,110,18,300,Jazmin Marks,3.5,420,AppDev - Build,840,AppDev-Build
3845,2013-07-17,110,13,300,Hector Sanders,0.5,490,Application Development Support,150,Application Development Support
3886,2013-07-18,110,41,300,Donna Hall,1,190,ERP - Production Support,300,Update documentation
3887,2013-07-18,110,45,450,Ingrid Jordan,2,215,CRM - Build Phase,900,Museum configuration of the portal.
3888,2013-07-18,110,45,450,Ingrid Jordan,3,215,CRM - Build Phase,1080,CRM - Build Phase
3905,2013-07-18,110,18,300,Jazmin Marks,1.5,420,AppDev - Build,450,AppDev-Build
3917,2013-07-18,110,38,150,Brooke Holmes,1.5,450,BI - Envisioning,225,CAS-25401-H4N4: Review ad contract creation
3982,2013-07-19,110,41,300,Donna Hall,2,190,ERP - Production Support,600,ERP - Production Support
3995,2013-07-19,110,18,300,Jazmin Marks,1,410,AppDev - Technical Spec,300,Develop Technical Specifications
3996,2013-07-19,110,18,300,Jazmin Marks,4,410,AppDev - Technical Spec,960,Develop Technical Specifications
4011,2013-07-19,110,38,150,Brooke Holmes,2,450,BI - Envisioning,300,BI - Envisioning
4730,2012-02-07,110,8,300,Denzel Kaufman,3.5,495,App Dev - Project Management,0,Prep for Microsoft Dynamics Sure Step exam
5463,2012-02-15,110,68,750,Walter Conner,7,495,App Dev - Project Management,0,AC2012
5735,2012-02-18,110,12,900,Finley Salazar,6,495,App Dev - Project Management,0,AC2012
6846,2013-07-20,110,46,150,Jaeden Cowan,3.5,400,AppDev - Design,420,"CAS-24657-H9D1: Investigate issue with On Hold Register Report, test modifications"
6851,2013-07-20,110,29,150,Zariah Francis,1.5,410,AppDev - Technical Spec,225,Develop Technical Specifications
6904,2013-07-20,110,47,300,Joseph Garrison,2.5,495,App Dev - Project Management,750,Run validation on updated SSIS job related to processing the workbook
6935,2013-07-21,110,41,300,Donna Hall,1,190,ERP - Production Support,300,ERP - Production Support
6936,2013-07-21,110,41,300,Donna Hall,3.5,190,ERP - Production Support,840,ERP - Production Support
6960,2013-07-21,110,57,150,Lisa Strickland,3.5,425,AppDev - Testing,420,AppDev-Testing
6964,2013-07-21,110,68,750,Walter Conner,0.5,450,BI - Envisioning,375,BI - Envisioning
7001,2013-07-21,110,47,300,Joseph Garrison,1,495,App Dev - Project Management,300,App Dev - Project Management
7007,2013-07-21,110,15,450,Jack Zuniga,7,495,App Dev - Project Management,0,App Dev - Project Management
7026,2013-07-22,110,57,150,Lisa Strickland,1,190,ERP - Production Support,150,ERP - Production Support
7047,2013-07-22,110,2,150,Adyson Herring,3.5,190,ERP - Production Support,420,ERP - Production Support
7048,2013-07-22,110,41,300,Donna Hall,3.5,190,ERP - Production Support,840,ERP - Production Support
7049,2013-07-22,110,41,300,Donna Hall,1,190,ERP - Production Support,300,ERP - Production Support
7071,2013-07-22,110,57,150,Lisa Strickland,1,425,AppDev - Testing,150,AppDev-Testing
7109,2013-07-22,110,13,300,Hector Sanders,0.5,490,Application Development Support,150,Application Development Support
7117,2013-07-22,110,15,450,Jack Zuniga,7,495,App Dev - Project Management,0,UAT documentation and testing
7145,2013-07-23,110,41,300,Donna Hall,1,190,ERP - Production Support,300,ERP - Production Support
7170,2013-07-23,110,26,150,Nathalia Hayden,1.5,450,BI - Envisioning,225,BI - Envisioning
7185,2013-07-23,110,15,450,Jack Zuniga,1,453,BI - Build,450,BI - Budgeting Build Phase
7209,2013-07-23,110,47,300,Joseph Garrison,0.5,495,App Dev - Project Management,150,Team Foundation Server team set up and project repository process review
7229,2013-07-24,110,57,150,Lisa Strickland,2,190,ERP - Production Support,300,ERP - Production Support
7251,2013-07-24,110,41,300,Donna Hall,1,190,ERP - Production Support,300,Update fields for libraries in development for upload tool testing
7252,2013-07-24,110,41,300,Donna Hall,1,190,ERP - Production Support,300,ERP - Production Support
7263,2013-07-24,110,17,150,Jayvion Parrish,2.5,405,AppDev - Business Requirements,375,Requirements Definition
7346,2013-07-25,110,41,300,Donna Hall,6,190,ERP - Production Support,0,ERP - Production Support
7347,2013-07-25,110,41,300,Donna Hall,1,190,ERP - Production Support,300,ERP - Production Support
7367,2013-07-25,110,57,150,Lisa Strickland,0.5,425,AppDev - Testing,75,AppDev-Testing
7407,2013-07-25,110,13,300,Hector Sanders,0.5,490,Application Development Support,150,Application Development Support
7413,2013-07-25,110,16,450,Jair Donovan,5.5,495,App Dev - Project Management,0,App Dev - Project Management
7449,2013-07-26,110,41,300,Donna Hall,2.5,190,ERP - Production Support,0,ERP - Production Support
7450,2013-07-26,110,41,300,Donna Hall,1,190,ERP - Production Support,300,"create initial projects, generate schema from DW, check in to TFS"
7457,2013-07-26,110,50,450,Kallie Austin,3,405,AppDev - Business Requirements,1350,Requirements Definition
7468,2013-07-26,110,57,150,Lisa Strickland,0.5,425,AppDev - Testing,75,AppDev-Testing
7531,2013-07-27,110,57,150,Lisa Strickland,3,190,ERP - Production Support,450,Weekly Checkpoint
7550,2013-07-27,110,2,150,Adyson Herring,1,190,ERP - Production Support,150,ETL Data type conversions and validations
7551,2013-07-27,110,41,300,Donna Hall,4,190,ERP - Production Support,960,ERP - Production Support
7552,2013-07-27,110,41,300,Donna Hall,6,190,ERP - Production Support,0,ERP - Production Support
7570,2013-07-27,110,50,450,Kallie Austin,5.5,425,AppDev - Testing,0,Review project plan and architecture with team
7588,2013-07-27,110,15,450,Jack Zuniga,1,453,BI - Build,450,Discuss Specifications  and update document.
7618,2013-07-27,110,47,300,Joseph Garrison,1,495,App Dev - Project Management,300,App Dev - Project Management
7656,2013-07-28,110,46,150,Jaeden Cowan,2.5,400,AppDev - Design,375,AppDev-Genl Reqmt & Architect
7659,2013-07-28,110,18,300,Jazmin Marks,1,410,AppDev - Technical Spec,300,Develop Technical Specifications
7665,2013-07-28,110,12,900,Finley Salazar,6,420,AppDev - Build,0,AC2013
7804,2013-07-29,110,57,150,Lisa Strickland,2.5,490,Application Development Support,375,Application Development Support
7861,2013-07-30,110,57,150,Lisa Strickland,0.5,425,AppDev - Testing,75,AppDev-Testing
7880,2013-07-30,110,15,450,Jack Zuniga,3.5,453,BI - Build,1260,BI - Budgeting Build Phase
